"title","IMDB_score","MPAA_rating","meta_score","run_time","vote","gross"
"Jeepers Creepers III",4.1,"Not Rated",NA,100,12689,2.24
"The Lovers",6.1,"R",76,97,2400,2.19
"Brad's Status",6.5,"R",71,102,10779,2.13
"A Fantastic Woman",7.2,"R",86,104,14667,2.02
"Good Time",7.3,"R",80,101,43880,2.01
"The Bride of Badrinath",6.2,"Not Rated",NA,139,7838,1.99
"Everybody Loves Somebody",6.5,"PG-13",74,102,2920,1.91
"Sin-gwa ham-kke: Jwi-wa beol",7.3,"Not Rated",NA,139,6994,1.91
"Fang hua",7.1,"Not Rated",69,135,1837,1.89
"Toilet: A Love Story",7.3,"Not Rated",NA,155,12749,1.83
"The Wall",6.2,"R",57,88,18173,1.8
"The Last Word",6.6,"R",40,108,5542,1.78
"Goodbye Christopher Robin",7.1,"PG",54,107,15066,1.74
"Menashe",6.5,"PG",81,82,1247,1.7
"Slamma Jamma",6.4,"PG",NA,104,1055,1.69
"The Little Hours",5.8,"R",69,90,12019,1.65
"Jolly LLB 2",7.3,"Not Rated",NA,137,17226,1.63
"A Ghost Story",6.8,"R",84,92,39812,1.6
"Professor Marston and the Wonder Women",7.1,"R",68,108,14252,1.58
"The Stray",5.4,"PG",NA,92,631,1.58
"Taeksi woonjunsa",7.8,"Not Rated",69,137,7342,1.53
"The Square",7.3,"R",73,151,36746,1.5
"Twins 2",3.9,"Not Rated",NA,145,6518,1.43
"Finding Your Feet",6.6,"PG-13",53,111,2562,1.42
"Wonder Wheel",6.2,"PG-13",45,101,15841,1.4
"My Friend Dahmer",6.3,"R",68,107,7924,1.36
"The Dinner",4.5,"R",57,120,5764,1.32
"The Recall",4.5,"R",NA,90,6304,1.32
"Jab Harry Met Sejal",5.4,"Not Rated",NA,143,15386,1.28
"Churchill",6.3,"PG",44,105,11216,1.24
"3 Idiotas",4.2,"PG-13",NA,106,686,1.24
"The Sense of an Ending",6.3,"PG-13",61,108,4335,1.24
"Lean on Pete",7.2,"R",80,121,5784,1.16
"The Trip to Spain",6.6,"Not Rated",66,108,3456,1.16
"Viceroy's House",6.6,"Not Rated",53,106,4760,1.11
"Wonderstruck",6.2,"PG",71,116,6620,1.03
"Film Stars Don't Die in Liverpool",6.7,"R",65,105,4628,1.03
"Columbus",7.3,"Not Rated",89,100,7868,1.02
"Grow House",4.4,"R",NA,96,226,1.01
"Hotchpotch Again",5,"Not Rated",NA,140,6493,1.01
"L'insulte",7.7,"R",72,112,8037,1
"Beyond Skyline",5.3,"R",46,106,13141,0.99
"Last Flag Flying",6.9,"R",65,125,15642,0.97
"Lucky",7.4,"Not Rated",80,88,10564,0.96
"Landline",6.4,"R",66,97,3144,0.94
"Tubelight",4.2,"Not Rated",NA,136,11590,0.93
"1945",7.3,"Not Rated",75,91,1599,0.89
"Journey to the West: The Demons Strike Back",5.4,"PG-13",59,109,2087,0.88
"Let the Sunshine In",6,"Not Rated",79,94,2926,0.87
"Qian ren 3: Zai jian qian ren",5.6,"PG-13",NA,120,255,0.84
"The Cakemaker",7.3,"Not Rated",74,113,1008,0.81
"Chingisiin huuhduud",9.3,"G",NA,101,790,0.81
"Beast",6.9,"R",74,107,3379,0.8
"Patti Cake$",6.6,"R",67,109,7493,0.8
"Mark Felt: The Man Who Brought Down the White House",6.4,"PG-13",49,103,7236,0.77
"Mubarakan",5.6,"PG-13",NA,156,2697,0.76
"The Party",6.6,"R",73,71,11249,0.75
"On Chesil Beach",6.3,"R",62,110,3220,0.75
"Shubh Mangal Saavdhan",6.9,"Not Rated",NA,119,4834,0.69
"Wilson",5.8,"R",49,94,8204,0.65
"The Only Living Boy in New York",6.3,"R",33,89,6919,0.62
"Foxtrot",7.5,"R",90,108,3159,0.62
"Sage femme",6.8,"Not Rated",66,117,1607,0.6
"Novitiate",6.6,"R",73,123,2385,0.58
"Ji yi da shi",6.5,"Not Rated",NA,119,651,0.57
"Loveless",7.7,"R",86,127,19515,0.57
"Bitter Harvest",6.1,"R",34,103,2787,0.56
"Brigsby Bear",7.4,"PG-13",68,97,11718,0.53
"Uchiage hanabi, shita kara miru ka? Yoko kara miru ka?",5.5,"Not Rated",40,90,944,0.53
"Detective Jagga",6.4,"Not Rated",NA,161,7104,0.49
"Breathe",7.1,"PG-13",51,118,12166,0.49
"Once Upon a Time",5.7,"Not Rated",NA,109,889,0.49
"Gongjo",6.5,"Not Rated",NA,125,1432,0.48
"Beach Rats",6.4,"R",78,98,7508,0.47
"Cheng feng po lang",6.5,"Not Rated",NA,102,880,0.47
"Final Portrait",6.3,"R",70,90,2817,0.46
"Phillauri",6.1,"Not Rated",NA,138,2855,0.46
"Chui lung",6.8,"Not Rated",NA,128,2424,0.46
"Condorito: The Movie",5.2,"PG",NA,88,567,0.45
"Song to Song",5.7,"R",54,129,13860,0.44
"A Gentleman",6.2,"Not Rated",NA,145,3766,0.42
"Un sac de billes",7.3,"Not Rated",55,110,2545,0.41
"Love, Kennedy",6.3,"PG",NA,92,244,0.41
"Yoru wa mijikashi aruke yo otome",7.6,"PG-13",65,92,1255,0.4
"Tom of Finland",6.8,"Not Rated",56,117,3398,0.38
"Rebel in the Rye",6.6,"PG-13",46,106,4817,0.38
"Oh Lucy!",6.8,"Not Rated",69,95,1361,0.38
"Kung Fu Yoga",5.2,"Not Rated",50,107,6622,0.36
"OK Darling",5.1,"Not Rated",NA,135,2981,0.35
"God's Own Country",7.7,"Not Rated",85,104,14060,0.34
"This Is Not What I Expected",6.7,"Not Rated",NA,106,889,0.33
"Flower",5.9,"R",45,90,3394,0.33
"In the Fade",7.1,"R",65,106,16368,0.32
"Feng ren ji yue dui",6.2,"Not Rated",NA,140,329,0.31
"The Breadwinner",7.7,"PG-13",78,94,10357,0.31
"Happy End",6.8,"R",72,107,8363,0.3
"Coincidence",7.2,"Not Rated",NA,105,7084,0.3
"Buddies in India",3.8,"Not Rated",NA,99,201,0.29
"The Son of Bigfoot",6.1,"PG",NA,92,3370,0.29
"The Black Prince",7,"PG-13",26,118,749,0.29
"But Deliver Us from Evil",2.9,"Not Rated",NA,109,145,0.28
"I Do... Until I Don't",4.5,"R",43,103,735,0.28
"Kings",4.7,"R",34,92,1225,0.27
"The Endless",6.5,"Not Rated",80,111,10117,0.27
"Ce qui nous lie",6.9,"Not Rated",58,113,2523,0.26
"Namhansanseong",6.9,"Not Rated",NA,140,566,0.25
"Gook",7.1,"Not Rated",69,94,1608,0.25
"Kkun",6.4,"Not Rated",NA,117,723,0.24
"Crown Heights",6.4,"R",64,94,1273,0.24
"Band Aid",6.6,"R",67,91,3880,0.24
"American Satan",5.5,"R",NA,111,2034,0.23
"Little Pink House",6.4,"Not Rated",55,98,314,0.22
"Getting Grace",7.8,"PG-13",NA,112,251,0.22
"Xia dao lian meng",5.6,"Not Rated",47,108,1922,0.22
"Peurizeun",6.5,"Not Rated",NA,125,1010,0.21
"Keep the Change",6.3,"Not Rated",73,94,380,0.2
"Zama",6.8,"Not Rated",89,115,2136,0.2
"Gemini",5.5,"R",71,93,2297,0.2
"Gauguin: Voyage to Tahiti",5.8,"Not Rated",54,102,646,0.2
"Yao ling ling",4.4,"Not Rated",NA,89,145,0.19
"The Other Side of Hope",7.2,"Not Rated",84,100,7848,0.18
"Estiu 1993",7.2,"Not Rated",81,97,3585,0.18
"Marjorie Prime",6.3,"Not Rated",82,99,3987,0.18
"Les gardiennes",7,"R",81,138,661,0.18
"Champion",5.6,"PG",NA,116,138,0.18
"Valley of Bones",4.3,"R",NA,90,403,0.17
"Double Lover",6.2,"Not Rated",70,107,6675,0.17
"Journey's End",6.6,"R",73,107,3191,0.16
"Mugen no jûnin",6.8,"R",72,140,10446,0.15
"Thelma",7.1,"Not Rated",74,116,16362,0.15
"Ghost Stories",6.4,"Not Rated",68,98,12613,0.14
"The Young Karl Marx",6.6,"Not Rated",62,118,3418,0.13
"BPM (Beats Per Minute)",7.5,"Not Rated",84,143,8644,0.13
"Qimen Dunjia",5.4,"Not Rated",40,113,681,0.12
"Americons",4,"R",25,88,173,0.12
"Yin bao zhe",5.6,"Not Rated",NA,106,133,0.12
"We Love You, Sally Carmichael!",5.9,"PG",NA,84,237,0.11
"Love After Love",5.5,"Not Rated",84,91,371,0.11
"Monster Family",4.7,"PG",NA,93,2447,0.11
"Yoake tsugeru Rû no uta",6.9,"PG",62,112,703,0.11
