Poll,Date,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick,
Quinnipiac,12/4 - 12/9,665 RV,29,17,15,5,9,3,4,1,2,1,0,
Monmouth,12/4 - 12/8,384 RV,26,21,17,5,8,4,3,1,0,0,1,
Politico/Morning Consult,12/2 - 12/8,15442 RV,30,22,16,6,9,2,4,3,2,1,0,
Economist/YouGov,12/1 - 12/3,541 LV,27,13,18,3,12,3,2,0,2,1,1,
The Hill/HarrisX,11/30 - 12/1,437 RV,31,15,10,6,9,2,2,2,0,1,1,
Politico/Morning Consult,11/25 - 12/1,15773 RV,29,20,15,5,9,2,4,2,2,1,0,
Harvard-Harris,11/27 - 11/29,756 RV,29,16,13,7,8,2,3,2,1,--,--,
Economist/YouGov,11/24 - 11/26,550 RV,23,15,17,3,12,3,3,1,2,0,1,
Quinnipiac,11/21 - 11/25,1355 RV,24,13,14,3,16,3,2,0,1,2,0,
CNN,11/21 - 11/24,431 RV,28,17,14,3,11,2,3,3,0,0,0,
Politico/Morning Consult,11/21 - 11/24,8102 RV,30,21,15,2,9,2,4,2,2,1,0,
SurveyUSA,11/20 - 11/21,1088 LV,30,17,15,3,11,2,4,2,1,--,1,
Emerson,11/17 - 11/20,468 RV,27,27,20,1,7,1,4,2,2,0,--,
Economist/YouGov,11/17 - 11/19,586 RV,30,12,22,--,9,2,2,1,3,1,--,
The Hill/HarrisX,11/16 - 11/17,449 RV,30,18,15,3,7,1,2,1,1,1,--,
Politico/Morning Consult,11/11 - 11/17,17050 RV,32,20,17,3,8,2,3,1,2,1,--,
Economist/YouGov,11/10 - 11/12,600 LV,23,17,26,--,9,2,4,1,2,0,--,
Politico/Morning Consult,11/4 - 11/10,16400 RV,32,20,19,2,8,2,3,1,1,1,--,
Economist/YouGov,11/3 - 11/5,1201 RV,26,14,25,--,8,2,1,1,3,0,--,
Monmouth,10/30 - 11/3,RV,23,20,23,--,9,2,3,1,0,0,--,
The Hill/HarrisX,11/1 - 11/2,429 RV,26,14,15,--,6,3,1,1,1,1,--,
Politico/Morning Consult,10/28 - 11/3,16071 RV,32,20,20,--,7,2,3,1,2,1,--,
Harvard-Harris,10/29 - 10/31,RV,33,18,15,--,4,3,2,1,0,--,--,
NBC News/Wall St. Jrnl,10/27 - 10/30,414 RV,27,19,23,--,6,5,3,0,2,1,--,
ABC News/Wash Post,10/27 - 10/30,452 RV,28,17,23,--,9,2,2,1,2,1,--,
FOX News,10/27 - 10/30,471 RV,31,19,21,--,7,2,3,1,2,0,--,
Economist/YouGov,10/27 - 10/29,597 RV,27,14,23,--,7,2,3,1,2,1,--,
LA Times/USC,10/21 - 11/3,2599 LV,28,13,16,--,6,2,2,1,1,0,--,
IBD/TIPP,10/24 - 10/31,361 RV,29,13,23,--,7,3,3,1,0,0,--,
USA Today/Suffolk,10/23 - 10/26,1000 RV,26,13,17,--,10,2,3,1,4,0,--,
Politico/Morning Consult,10/21 - 10/27,15431 RV,32,20,20,--,7,2,3,1,2,1,--,
The Hill/HarrisX,10/21 - 10/22,1001 RV,27,14,19,--,6,1,2,1,0,1,--,
Economist/YouGov,10/20 - 10/22,1204 RV,24,16,23,--,8,2,3,1,2,1,--,
Emerson,10/18 - 10/21,430 RV,27,25,21,--,6,1,4,1,3,0,--,
Quinnipiac,10/17 - 10/21,713 RV,21,15,28,--,10,3,1,1,1,0,--,
CNN,10/17 - 10/20,424 RV,34,16,19,--,6,3,2,1,1,1,--,
Politico/Morning Consult,10/16 - 10/20,11521 RV,30,18,21,--,6,2,3,1,1,1,--,
Politico/Morning Consult,10/16 - 10/16,2202 RV,31,18,21,--,6,2,3,2,1,1,--,
SurveyUSA,10/15 - 10/16,1071 LV,32,17,22,--,5,2,2,1,1,--,--,
Economist/YouGov,10/13 - 10/15,1136 RV,25,13,29,--,7,2,2,1,3,1,--,
Quinnipiac,10/11 - 10/13,RV,27,11,30,--,8,2,2,2,0,1,--,
Politico/Morning Consult,10/7 - 10/12,15683 RV,32,19,21,--,5,1,3,1,1,1,--,
Economist/YouGov,10/6 - 10/8,1241RV 2.9,25,14,29,--,5,1,3,1,1,0,--,
FOX News,10/6 - 10/8,,32,17,22,--,4,2,2,1,1,1,--,
The Hill/HarrisX,10/6 - 10/7,446 RV,31,17,15,--,4,2,2,2,1,1,--,
Quinnipiac,10/4 - 10/7,646 RV,26,16,29,--,4,2,3,0,0,1,--,
Politico/Morning Consult,9/30 - 10/6,16529 RV,33,19,21,--,5,1,3,1,1,1,--,
IBD/TIPP,9/26 - 10/3,341 RV,26,10,27,--,7,1,3,0,1,0,--,
Economist/YouGov,9/28 - 10/1,1087 RV,22,13,28,--,7,1,3,1,2,2,--,
Monmouth,9/23 - 9/29,434 RV,25,15,28,--,5,1,2,1,0,0,--,
Politico/Morning Consult,9/23 - 9/29,16274 RV,32,19,21,--,5,1,3,1,1,1,--,
Economist/YouGov,9/22 - 9/24,1198 RV,26,16,27,--,6,1,2,0,1,1,--,
Harvard-Harris,9/22 - 9/24,2009 RV,28,16,17,--,3,1,3,2,1,--,--,
Emerson,9/21 - 9/23,1019 RV,25,22,23,--,6,0,8,0,1,0,--,
Quinnipiac,9/19 - 9/23,561 RV,25,16,27,--,7,2,2,0,1,1,--,
The Hill/HarrisX,9/20 - 9/21,440 RV,31,16,14,--,5,2,2,1,1,1,--,
Politico/Morning Consult,9/16 - 9/22,17377 RV,32,19,20,--,5,2,3,1,1,1,--,
FOX News,9/15 - 9/17,RV,29,18,16,--,5,2,2,1,0,1,--,
Economist/YouGov,9/14 - 9/17,567 RV,26,14,21,--,9,1,3,0,2,1,--,
NBC News/Wall St. Jrnl,9/13 - 9/16,506 RV,31,14,25,--,7,2,4,1,1,1,--,
SurveyUSA,9/13 - 9/16,1017 LV,33,17,19,--,5,1,3,--,--,--,--,
Politico/Morning Consult,9/13 - 9/15,7487 RV,32,20,18,--,5,2,3,1,1,0,--,
Reuters/Ipsos,9/9 - 9/10,RV,22,16,11,--,4,1,3,1,1,0,--,
Economist/YouGov,9/8 - 9/10,1188 RV,26,16,26,--,6,1,2,0,1,1,--,
The Hill/HarrisX,9/7 - 9/8,454 RV,27,15,12,--,4,1,5,1,1,1,--,
CNN,9/5 - 9/9,908 RV,24,17,18,--,6,1,2,1,2,1,--,
Politico/Morning Consult,9/2 - 9/8,17824 RV,33,21,16,--,5,1,3,1,1,1,--,
ABC News/Wash Post,9/2 - 9/5,437 RV,29,19,18,--,4,2,3,1,2,0,--,
Economist/YouGov,9/1 - 9/3,,26,14,22,--,5,0,3,0,3,1,--,
Politico/Morning Consult,8/26 - 9/1,16736 RV,32,20,16,--,5,1,3,1,1,1,--,
Harvard-Harris,8/26 - 8/28,951 RV,32,16,13,--,4,1,2,1,1,--,--,
Economist/YouGov,8/24 - 8/27,511 RV,25,14,21,--,5,1,2,1,2,1,--,
IBD/TIPP,8/22 - 8/30,360 RV,28,12,24,--,5,1,1,0,0,0,--,
LA Times/USC,8/12 - 9/8,2462 LV,28,13,11,--,4,1,2,0,1,0,--,
Emerson,8/24 - 8/26,627 RV,31,24,15,--,3,1,4,0,3,0,--,
Quinnipiac,8/21 - 8/26,1422 RV,32,15,19,--,5,1,3,0,1,1,--,
The Hill/HarrisX,8/23 - 8/24,1001 RV,30,17,14,--,4,1,2,1,1,1,--,
USA Today/Suffolk,8/20 - 8/25,424 RV,32,12,14,--,6,0,3,0,0,0,--,
Politico/Morning Consult,8/19 - 8/25,17303 RV,33,20,15,--,5,1,2,1,1,1,--,
Economist/YouGov,8/17 - 8/20,RV,22,19,18,--,8,0,1,0,2,0,--,
Monmouth,8/16 - 8/20,298 RV,19,20,20,--,4,1,3,0,1,0,--,
CNN,8/15 - 8/18,402 RV,29,15,14,--,5,1,1,1,2,0,--,
Politico/Morning Consult,8/12 - 8/18,17115 RV,31,20,15,--,5,1,3,1,1,0,--,
FOX News,8/11 - 8/13,,31,10,20,--,3,2,3,1,1,0,--,
Economist/YouGov,8/10 - 8/13,RV,23,16,20,--,6,1,2,1,2,1,--,
The Hill/HarrisX,8/9 - 8/10,451 RV,31,16,10,--,4,2,1,1,1,0,--,
Politico/Morning Consult,8/5 - 8/11,17117,33,20,14,--,5,1,2,1,1,1,--,
Economist/YouGov,8/3 - 8/6,1161 RV,25,13,18,--,7,1,2,1,3,1,--,
Quinnipiac,8/1 - 8/5,807 RV,32,14,21,--,5,1,1,0,1,0,--,
SurveyUSA,8/1 - 8/5,999 LV,33,20,19,--,8,1,0,0,0,0,--,
Reuters/Ipsos,8/1 - 8/5,RV,25,20,10,--,5,1,2,0,1,0,--,
Politico/Morning Consult,8/1 - 8/4,9845 RV,33,19,15,--,6,1,2,1,1,0,--,
Politico/Morning Consult,8/1 - 8/1,2419 RV,32,18,15,--,6,1,2,1,1,0,--,
